Date,TGT
1/2/00,36.7188
1/3/00,36.0313
1/4/00,34.4688
1/5/00,33.6875
1/6/00,32.0938
1/9/00,33.75
1/10/00,33.0938
1/11/00,34.0938
1/12/00,33.7188
1/13/00,34.5
1/16/00,34.625
1/17/00,34.625
1/18/00,34
1/19/00,34.9688
1/20/00,33.8438
1/23/00,32.4063
1/24/00,31.75
1/25/00,32.5625
1/26/00,34.0625
1/27/00,33.6563
1/30/00,31.6875
1/31/00,32.9375
2/1/00,33.7188
2/2/00,34
2/3/00,33.0313
2/6/00,32.3125
2/7/00,32.8438
2/8/00,34.3438
2/9/00,33.5938
2/10/00,33.2188
2/13/00,33.0313
2/14/00,32.625
2/15/00,31.9688
2/16/00,30.9063
2/17/00,29.9375
2/20/00,29.5
2/21/00,29.5
2/22/00,28.875
2/23/00,28.4063
2/24/00,27.9375
2/27/00,27.9375
2/28/00,29.4375
2/29/00,29.5
3/1/00,29.625
3/2/00,30.125
3/5/00,30.875
3/6/00,30.375
3/7/00,29
3/8/00,29.0938
3/9/00,30.0313
3/12/00,30.4063
3/13/00,30.7188
3/14/00,30.4688
3/15/00,32
3/16/00,35.5625
3/19/00,34.75
3/20/00,33.1875
3/21/00,33.4688
3/22/00,33.3438
3/23/00,34
3/26/00,34.5625
3/27/00,34.2188
3/28/00,34.4375
3/29/00,36.3125
3/30/00,38.5938
4/2/00,37.375
4/3/00,38.5
4/4/00,37.6563
4/5/00,37.0938
4/6/00,37
4/9/00,37.125
4/10/00,37.5938
4/11/00,36.4375
4/12/00,36.1563
4/13/00,35.3125
4/16/00,34.1563
4/17/00,32.6563
4/18/00,34.6875
4/19/00,34.25
4/20/00,34.625
4/23/00,34.625
4/24/00,35.125
4/25/00,35.75
4/26/00,35.4063
4/27/00,34
4/30/00,33.2813
5/1/00,34.125
5/2/00,34.4375
5/3/00,31.875
5/4/00,33.0625
5/7/00,34.0391
5/8/00,34.125
5/9/00,34.7188
5/10/00,35.1875
5/11/00,34.9375
